Decimal	HEX	OP	Arg1	Size	Arg2	Size	Description
38	0x26	JPNO	ADDR	WORD	-	-	if overflow flag not set then sets IR to the address
39	0x27	CALL	ADDR	WORD	FLAG	BIT	pushes IR and SF to the return stack and sets SF to top of the stack , if bit is set then value  at top of stack is kept on return
40	0x28	RET	-	-	-	-	flushes Stack, Pops IR and SF off the Return Stack
41	0x29	ADD	VALUE	WORD	-	-	Add WORD to AX; store result in AX and set flags
42	0x2A	ADD	REG	BYTE	-	-	Add REG to AX; store result in AX and set flags
43	0x2B	ADB	VALUE	BYTE	-	-	Add BYTE to AX; store result in AX and set flags
44	0x2C	ADH	REG	BYTE	-	-	Add high byte of REG to high byte of AX; store result in AX and set flags
45	0x2D	ADL	REG	BTTE	-	-	Add low byte of REG to low byte of AX; store result in AX and set flags
46	0x2E	SUB	VALUE	WORD	-	-	Subtract WORD from AX; store result in AX and set flags
47	0x2F	SUB	REG	BYTE	-	-	Subtract REG from AX; store result in AX and set flags
48	0x30	SBB	VALUE	BYTE	-	-	Subtract BYTE from  AX; store result in AX and set flags
49	0x31	SBH	REG	BYTE	-	-	Subtract high byte of REG from high byte of AX; store result in AX and set flags
50	0x32	SBL	REG	BTTE	-	-	Subtract low byte of REG from low byte of AX; store result in AX and set flags
51	0x33	MUL	VALUE	WORD	-	-	Multiply WORD by  AX; store result in AX and set flags;
52	0x34	MUL	REG	BYTE	-	-	Multiply REG by AX; store result in AX and set flags
53	0x35	MLB	VALUE	BYTE	-	-	Multiply BYTE by AX; store result in AX and set flags
54	0x36	MLH	REG	BYTE	-	-	Multiply high byte of REG by high byte of AX; store result in AX and set flags
55	0x37	MLL	REG	BTTE	-	-	Multiply low byte of REG by low byte of AX; store result in AX and set flags
56	0x38	DIV	VALUE	WORD	-	-	Divide WORD by  AX; store result in AX and set flags;
57	0x39	DIV	REG	BYTE	-	-	Divide REG by AX; store result in AX and set flags
58	0x3A	DVB	VALUE	BYTE	-	-	Divide BYTE by AX; store result in AX and set flags
59	0x3B	DVH	REG	BYTE	-	-	Divide high byte of REG by high byte of AX; store result in AX and set flags
60	0x3C	DVL	REG	BYTE	-	-	Divide low byte of REG by low byte of AX; store result in AX and set flags
61	0x3D	REM	VALUE	WORD	-	-	Take remainder after dividing WORD by  AX; store result in AX and set flags;
62	0x3E	REM	REG	BYTE	-	-	Take remainder after dividing REG by AX; store result in AX and set flags
63	0x3F	RMB	VALUE	BYTE	-	-	Take remainder after dividing BYTE by AX; store result in AX and set flags
64	0x40	RMH	REG	BYTE	-	-	Take remainder after dividing high byte of REG by high byte of AX; store result in AX and set flags
65	0x41	RML	REG	BYTE	-	-	Take remainder after dividing low byte of REG by low byte of AX; store result in AX and set flags
66	0x42	AND	VALUE	WORD	-	-	And WORD with AX; store result in AX and set flags;
67	0x43	AND	REG	BYTE	-	-	And REG with AX; store result in AX and set flags
68	0x44	ANB	VALUE	BYTE	-	-	And BYTE with low byte of AX; store result in AX and set flags
69	0x45	ANH	REG	BYTE	-	-	And high byte of REG with high byte of AX; store result in AX and set flags
70	0x46	ANL	REG	BYTE	-	-	And low byte of REG with low byte of AX; store result in AX and set flags
71	0x47	OR	VALUE	WORD	-	-	Or WORD with AX; store result in AX and set flags;
72	0x48	OR	REG	BYTE	-	-	Or REG with AX; store result in AX and set flags
73	0x49	ORB	VALUE	BYTE	-	-	Or BYTE with low byte of AX; store result in AX and set flags
74	0x4A	ORH	REG	BYTE	-	-	Or high byte of REG with high byte of AX; store result in AX and set flags
75	0x4B	ORL	REG	BYTE	-	-	Or low byte of REG with low byte of AX; store result in AX and set flags
76	0x4C	XOR	VALUE	WORD	-	-	XOR WORD with AX; store result in AX and set flags;
77	0x4D	XOR	REG	BYTE	-	-	XOR REG with AX; store result in AX and set flags
78	0x4E	XOB	VALUE	BYTE	-	-	XOR BYTE with low byte of AX; store result in AX and set flags
79	0x4F	XOH	REG	BYTE	-	-	XOR high byte of REG with high byte of AX; store result in AX and set flags
80	0x50	XOL	REG	BYTE	-	-	XOR low byte of REG with low byte of AX; store result in AX and set flags
81	0x51	NOT	VALUE	WORD	-	-	Not WORD ; store result in AX and set flags;
82	0x52	NOT	REG	BYTE	-	-	not REG; store result in AX and set flags
83	0x53	NOTB	VALUE	BYTE	-	-	Not BYTE; store result in AX and set flags
84	0x54	NOTH	REG	BYTE	-	-	Not high byte of REG; store result in AX and set flags
85	0x55	NOTL	REG	BYTE	-	-	Not low byte of REG; store result in AX and set flags
86	0x56	SHL	VALUE	WORD	-	-	Left shift WORD; store result in AX and set flags;
87	0x57	SHL	REG	BYTE	-	-	Left Shift REG; store result in AX and set flags
88	0x58	SLB	VALUE	BYTE	-	-	Left Shift BYTE; store result in AX and set flags
89	0x59	SLH	REG	BYTE	-	-	Left Shift high byte of REG; store result in AX and set flags
90	0x5A	SLL	REG	BYTE	-	-	Left Shift low byte of REG; store result in AX and set flags
91	0x5B	SHR	VALUE	WORD	-	-	Right shift WORD; store result in AX and set flags;
92	0x5C	SHR	REG	BYTE	-	-	Right Shift REG; store result in AX and set flags
93	0x5D	SHRB	VALUE	BYTE	-	-	Right Shift BYTE; store result in AX and set flags
94	0x5E	SHRH	REG	BYTE	-	-	Right Shift high byte of REG; store result in AX and set flags
95	0x5F	SHRL	REG	BYTE	-	-	Right Shift low byte of REG; store result in AX and set flags
96	0x60	ROL	VALUE	WORD	-	-	Left Rotate WORD; store result in AX and set flags;
97	0x61	ROL	REG	BYTE	-	-	Left Rotate REG; store result in AX and set flags
98	0x62	ROLB	VALUE	BYTE	-	-	Left Rotate BYTE; store result in AX and set flags
99	0x63	ROLH	REG	BYTE	-	-	Left Rotate high byte of REG; store result in AX and set flags
100	0x64	ROLL	REG	BYTE	-	-	Left Rotate low byte of REG; store result in AX and set flags
101	0x65	ROR	VALUE	WORD	-	-	Right Rotate WORD; store result in AX and set flags;
102	0x66	ROR	REG	BYTE	-	-	Right Rotate REG; store result in AX and set flags
103	0x67	RORB	VALUE	BYTE	-	-	Right Rotate BYTE; store result in AX and set flags
104	0x68	RORH	REG	BYTE	-	-	Right Rotate high byte of REG; store result in AX and set flags
105	0x69	RORL	REG	BYTE	-	-	Right Rotate low byte of REG; store result in AX and set flags
106	0x6A	INC	REG	BYTE	-	-	Increment Register; if AX then set flags
107	0x6B	DEC	REG	BYTE	-	-	Decrement Register; if AX then set flags
108	0x6C	CMP	REG	BYTE	REG	BYTE	Compare 2 16 bit registers. If a < b then set AX = -1 if a= b then set AX = 0 and if a>b set AX = 1
109	0x6D	CMP	REG	BYTE	VALUE	WORD	Compare 16 bit register with WORD . If a < b then set AX = -1 if a= b then set AX = 0 and if a>b set AX = 1
110	0x6E	CPH	REG	BYTE	REG	BYTE	Compare High bytes of 2 registers  If a < b then set AX = -1 if a= b then set AX = 0 and if a>b set AX = 1
111	0x6F	CPH	REG	BYTE	VALUE	BYTE	Compare High Byte of register with BYTE. If a < b then set AX = -1 if a= b then set AX = 0 and if a>b set AX = 1
112	0x70	CPL	REG	BYTE	REG	BYTE	Compare Low Bytes of 2 registers . If a < b then set AX = -1 if a= b then set AX = 0 and if a>b set AX = 1
113	0x71	CPL	REG	BYTE	VALUE	BYTE	Compare Low byte of register with BYTE  If a < b then set AX = -1 if a= b then set AX = 0 and if a>b set AX = 1
114	0x72	LDA (2)	REG	BYTE	REG	BYTE	Loads a word from memory at address stored in second register into first register
115	0x73	LDAH (2)	REG	BYTE	REG	BYTE	Loads a byte from memory at address stored in second register into high byte of first register
116	0x74	LDAL (2)	REG	BYTE	REG	BYTE	Loads a byte from memory at address stored in second register into low byte of first register
127	0x7F	SYS	FUNC	WORD	-	-	Call system routine
128	0x80	-	-	-	-	-	All higher ops reserved for extended op sets
